國語注音符號第一式,威妥瑪拼音,國語注音符號第二式,華語通用拼音,漢語拼音方案
ㄗㄨ,tsu,tzu,zu,zu
ㄗㄨㄛ,tso,tzuo,zuo,zuo
ㄗㄨㄟ,tsui,tzuei,zuei,zui
ㄗㄨㄢ,tsuan,tzuan,zuan,zuan
ㄗㄨㄣ,tsun,tzuen,zun,zun
ㄗㄨㄥ,tsung,tzung,zong,zong
ㄘ,tz'u,tsz,cih,ci
ㄘㄚ,ts'a,tsa,ca,ca
ㄘㄜ,ts'ê,tse,ce,ce
ㄘㄞ,ts'ai,tsai,cai,cai
ㄘㄠ,ts'ao,tsau,cao,cao
ㄘㄡ,ts'ou,tsou,cou,cou
ㄘㄢ,ts'an,tsan,can,can
ㄘㄣ,ts'ên,tsen,cen,cen
ㄘㄤ,ts'ang,tsang,cang,cang
ㄘㄥ,ts'êng,tseng,ceng,ceng
ㄘㄨ,ts'u,tsu,cu,cu
ㄘㄨㄛ,ts'o,tsuo,cuo,cuo
ㄘㄨㄟ,ts'ui,tsuei,cuei,cui
ㄘㄨㄢ,ts'uan,tsuan,cuan,cuan
ㄘㄨㄣ,ts'un,tsuen,cun,cun
ㄘㄨㄥ,ts'ung,tsung,cong,cong
ㄙ,ssu,sz,sih,si
ㄙㄚ,sa,sa,sa,sa
ㄙㄜ,sê,se,se,se
ㄙㄞ,sai,sai,sai,sai
ㄙㄠ,sao,sau,sao,sao
ㄙㄡ,sou,sou,sou,sou
ㄙㄢ,san,san,san,san
ㄙㄣ,sên,sen,sen,sen
ㄙㄤ,sang,sang,sang,sang
ㄙㄥ,sêng,seng,seng,seng
ㄙㄨ,su,su,su,su
ㄙㄨㄛ,so,suo,suo,suo
ㄙㄨㄟ,sui,suei,suei,sui
ㄙㄨㄢ,suan,suan,suan,suan
ㄙㄨㄣ,sun,suen,sun,sun
ㄙㄨㄥ,sung,sung,song,song
ㄚ,a,a,a,a
ㄛ,o,o,o,o
ㄜ,ê,e,e,e
ㄞ,ai,ai,ai,ai
ㄟ,ei,ei,ei,ei
ㄠ,ao,au,ao,ao
ㄡ,ou,ou,ou,ou
ㄢ,an,an,an,an
ㄣ,ên,en,en,en
ㄤ,ang,ang,ang,ang
ㄥ,êng,eng,eng,eng
ㄦ,êrh,er,er,er
ㄧ,i,yi,yi,yi
ㄧㄚ,ya,ya,ya,ya
ㄧㄝ,yeh,ye,ye,ye
ㄧㄠ,yao,yau,yao,yao
ㄧㄡ,yu,you,you,you
ㄧㄢ,yen,yan,yan,yan
ㄧㄣ,yin,yin,yin,yin
ㄧㄤ,yang,yang,yang,yang
ㄧㄥ,ying,ying,ying,ying
ㄨ,wu,wu,wu,wu
ㄨㄚ,wa,wa,wa,wa
ㄨㄛ,wo,wo,wo,wo
ㄨㄞ,wai,wai,wai,wai
ㄨㄟ,wei,wei,wei,wei
ㄨㄢ,wan,wan,wan,wan
ㄨㄣ,wên,wen,wun,wen
ㄨㄤ,wang,wang,wang,wang
ㄨㄥ,wêng,weng,wong,weng
ㄩ,yü,yu,yu,yu
ㄩㄝ,yüeh,yue,yue,yue
ㄩㄢ,yüan,yuan,yuan,yuan
ㄩㄣ,yün,yun,yun,yun
ㄩㄥ,yung,yung,yong,yong
